timestamp,load,pressure,Column2,Column3
2020-02-04 19:31:58:651831,-12.19296522,949,651831,89573
2020-02-04 19:31:58:741398,-12.74024348,945,741398,89567
2020-02-04 19:31:58:841167,-12.92266957,951,841167,99769
2020-02-04 19:31:58:930796,-11.55693913,948,930796,89629
2020-02-04 19:31:59:038719,-11.55693913,946,038719,-892077
2020-02-04 19:31:59:117397,-123.2608696,948,117397,78678
2020-02-04 19:31:59:539845,-123.2658,950,539845,422448
2020-02-04 19:31:59:626896,-12.40497391,951,626896,87051
2020-02-04 19:31:59:725793,-10.46238261,947,725793,98897
2020-02-04 19:31:59:814992,-10.83709565,945,814992,89199
2020-02-04 19:31:59:915817,-11.95137391,948,915817,100825
2020-02-04 19:32:00:006215,-12.72545217,950,006215,-909602
2020-02-04 19:32:00:095976,-13.09523478,950,095976,89761
2020-02-04 19:32:00:186424,-12.22254783,951,186424,90448
2020-02-04 19:32:00:287089,-12.0056087,946,287089,100665
2020-02-04 19:32:00:376721,-11.86755652,951,376721,89632
2020-02-04 19:32:00:466402,-12.09435652,946,466402,89681
2020-02-04 19:32:00:566342,-13.66223478,950,566342,99940
2020-02-04 19:32:00:656150,-15.43226087,946,656150,89808
2020-02-04 19:32:00:746424,-13.04593043,950,746424,90274
2020-02-04 19:32:00:846321,-12.85364348,951,846321,99897
2020-02-04 19:32:00:936045,-15.35830435,949,936045,89724
2020-02-04 19:32:01:026337,-14.12569565,950,026337,-909708
2020-02-04 19:32:01:116251,-13.70167826,950,116251,89914
2020-02-04 19:32:01:216884,-13.89396522,950,216884,100633
2020-02-04 19:32:01:307729,-14.58915652,946,307729,90845
2020-02-04 19:32:01:398191,-12.59233043,946,398191,90462
2020-02-04 19:32:01:487978,-10.83216522,951,487978,89787
2020-02-04 19:32:01:587935,-10.3046087,951,587935,99957
2020-02-04 19:32:01:677549,-3.564704348,948,677549,89614
2020-02-04 19:32:01:767197,-1.222747826,950,767197,89648
2020-02-04 19:32:01:867252,-9.022695652,945,867252,100055
2020-02-04 19:32:01:956929,-18.3708,949,956929,89677
2020-02-04 19:32:02:046582,-11.64568696,948,046582,-910347
2020-02-04 19:32:02:146499,-9.8658,947,146499,99917
2020-02-04 19:32:02:236237,-17.19242609,951,236237,89738
2020-02-04 19:32:02:326719,-16.52188696,951,326719,90482
2020-02-04 19:32:02:426579,-0.946643478,950,426579,99860
2020-02-04 19:32:02:516302,-12.72052174,950,516302,89723
2020-02-04 19:32:02:606025,-9.885521739,950,606025,89723
2020-02-04 19:32:02:706660,-11.33506957,946,706660,100635
2020-02-04 19:32:02:796358,-12.2472,950,796358,89698
2020-02-04 19:32:02:886206,-13.01634783,950,886206,89848
2020-02-04 19:32:02:976590,-14.0616,946,976590,90384
2020-02-04 19:32:03:076487,-15.01810435,951,076487,-900103
2020-02-04 19:32:03:166086,-13.05086087,950,166086,89599
2020-02-04 19:32:03:256553,-11.15757391,951,256553,90467
2020-02-04 19:32:03:356532,-11.66047826,946,356532,99979
2020-02-04 19:32:03:446295,-10.49196522,951,446295,89763
2020-02-04 19:32:03:536093,-9.643930435,949,536093,89798
2020-02-04 19:32:03:636770,-12.33594783,950,636770,100677
2020-02-04 19:32:03:726522,-13.77070435,949,726522,89752
2020-02-04 19:32:03:816214,-11.76894783,945,816214,89692
2020-02-04 19:32:03:906516,-11.06389565,947,906516,90302
2020-02-04 19:32:04:006536,-10.35884348,949,006536,-899980
2020-02-04 19:32:04:096244,-10.75327826,949,096244,89708
2020-02-04 19:32:04:185944,-11.50763478,951,185944,89700
2020-02-04 19:32:04:286597,-13.041,950,286597,100653
2020-02-04 19:32:04:376846,-13.05086087,950,376846,90249
2020-02-04 19:32:04:466460,-13.60306957,946,466460,89614
2020-02-04 19:32:04:566311,-12.73531304,951,566311,99851
2020-02-04 19:32:04:656011,-9.870730435,949,656011,89700
2020-02-04 19:32:04:746426,-10.81737391,946,746426,90415
2020-02-04 19:32:04:846293,-12.9276,950,846293,99867
2020-02-04 19:32:04:935932,-11.69992174,951,935932,89639
2020-02-04 19:32:05:026318,-10.60536522,951,026318,-909614
2020-02-04 19:32:05:115963,-11.73443478,951,115963,89645
2020-02-04 19:32:05:215919,-12.42962609,948,215919,99956
2020-02-04 19:32:05:306357,-12.07463478,948,306357,90438
2020-02-04 19:32:05:396014,-13.11495652,950,396014,89657
2020-02-04 19:32:05:495865,-14.8554,950,495865,99851
2020-02-04 19:32:05:585500,-13.97778261,951,585500,89635
2020-02-04 19:32:05:675879,-10.53633913,950,675879,90379
2020-02-04 19:32:05:776464,-11.34,949,776464,100585
2020-02-04 19:32:05:866176,-12.65642609,950,866176,89712
2020-02-04 19:32:05:955862,-13.30724348,951,955862,89686
2020-02-04 19:32:06:046237,-11.76401739,951,046237,-909625
2020-02-04 19:32:06:146136,-13.33682609,950,146136,99899
2020-02-04 19:32:06:235816,-12.61205217,946,235816,89680
2020-02-04 19:32:06:326185,-11.97109565,945,326185,90369
2020-02-04 19:32:06:427131,-11.93658261,951,427131,100946
2020-02-04 19:32:06:516796,-11.50270435,948,516796,89665
2020-02-04 19:32:06:606594,-12.474,949,606594,89798
2020-02-04 19:32:06:706536,-13.34175652,949,706536,99942
2020-02-04 19:32:06:796269,-14.59901739,947,796269,89733
2020-02-04 19:32:06:885856,-14.66311304,945,885856,89587
2020-02-04 19:32:06:976273,-13.2530087,950,976273,90417
2020-02-04 19:32:07:076478,-13.45022609,950,076478,-899795
2020-02-04 19:32:07:166100,-12.77475652,948,166100,89622
2020-02-04 19:32:07:255873,-14.16513913,947,255873,89773
2020-02-04 19:32:07:356645,-14.20458261,950,356645,100772
2020-02-04 19:32:07:446436,-12.12393913,950,446436,89791
2020-02-04 19:32:07:536109,-9.091721739,945,536109,89673
2020-02-04 19:32:07:626623,-7.987304348,949,626623,90514
2020-02-04 19:32:07:726583,-9.121304348,950,726583,99960
2020-02-04 19:32:07:816243,-10.89626087,948,816243,89660
2020-02-04 19:32:07:905920,-13.24807826,947,905920,89677
2020-02-04 19:32:08:006487,-14.51026957,950,006487,-899433
2020-02-04 19:32:08:096256,-13.17412174,947,096256,89769
2020-02-04 19:32:08:185944,-13.68195652,948,185944,89688
2020-02-04 19:32:08:286564,-12.97690435,947,286564,100620
2020-02-04 19:32:08:376289,-12.51344348,951,376289,89725
2020-02-04 19:32:08:466060,-14.77158261,950,466060,89771
2020-02-04 19:32:08:565928,-15.37802609,947,565928,99868
2020-02-04 19:32:08:655544,-12.42469565,948,655544,89616
2020-02-04 19:32:08:745957,-9.831286957,950,745957,90413
2020-02-04 19:32:08:836249,-10.93077391,951,836249,90292
2020-02-04 19:32:08:936105,-11.33013913,945,936105,99856
2020-02-04 19:32:09:025926,-11.81332174,951,025926,-910179
2020-02-04 19:32:09:116281,-13.32696522,945,116281,90355
2020-02-04 19:32:09:216129,-13.86931304,951,216129,99848
2020-02-04 19:32:09:305827,-15.41253913,950,305827,89698
2020-02-04 19:32:09:396225,-14.89977391,950,396225,90398
2020-02-04 19:32:09:496154,-12.46413913,950,496154,99929
2020-02-04 19:32:09:586417,-13.05086087,945,586417,90263
2020-02-04 19:32:09:676093,-14.742,951,676093,89676
2020-02-04 19:32:09:766455,-14.74693043,946,766455,90362
2020-02-04 19:32:09:866412,-12.8289913,950,866412,99957
2020-02-04 19:32:09:956013,-13.29245217,950,956013,89601
2020-02-04 19:32:10:046470,-14.31305217,945,046470,-909543
2020-02-04 19:32:10:146398,-11.81825217,945,146398,99928
2020-02-04 19:32:10:236012,-13.44529565,949,236012,89614
2020-02-04 19:32:10:325798,-13.88903478,951,325798,89786
2020-02-04 19:32:10:426402,-12.91773913,946,426402,100604
2020-02-04 19:32:10:516124,-12.72052174,949,516124,89722
2020-02-04 19:32:10:606459,-11.68513043,946,606459,90335
2020-02-04 19:32:10:696145,-13.45515652,950,696145,89686
2020-02-04 19:32:10:796719,-13.65237391,951,796719,100574
2020-02-04 19:32:10:886559,-13.43050435,946,886559,89840
2020-02-04 19:32:10:976500,-12.09435652,949,976500,89941
2020-02-04 19:32:11:076422,-13.78549565,950,076422,-900078
2020-02-04 19:32:11:166187,-12.76982609,947,166187,89765
2020-02-04 19:32:11:256497,-11.41888696,950,256497,90310
2020-02-04 19:32:11:346299,-11.48298261,950,346299,89802
2020-02-04 19:32:11:446358,-11.70978261,949,446358,100059
2020-02-04 19:32:11:536180,-12.42469565,951,536180,89822
2020-02-04 19:32:11:625775,-12.61698261,951,625775,89595
2020-02-04 19:32:11:726390,-11.0145913,950,726390,100615
2020-02-04 19:32:11:816742,-12.0056087,950,816742,90352
2020-02-04 19:32:11:906582,-8.475417391,950,906582,89840
2020-02-04 19:32:12:006441,-7.839391304,945,006441,-900141
2020-02-04 19:32:12:096156,-10.30953913,949,096156,89715
2020-02-04 19:32:12:186472,-11.95137391,947,186472,90316
2020-02-04 19:32:12:276159,-11.1132,950,276159,89687
2020-02-04 19:32:12:376736,-10.42786957,951,376736,100577
2020-02-04 19:32:12:466508,-10.58071304,950,466508,89772
2020-02-04 19:32:12:556399,-12.0056087,950,556399,89891
2020-02-04 19:32:12:656881,-12.8142,949,656881,100482
2020-02-04 19:32:12:746664,-11.41888696,950,746664,89783
2020-02-04 19:32:12:836342,-10.73848696,946,836342,89678
2020-02-04 19:32:12:936344,-11.13292174,946,936344,100002
2020-02-04 19:32:13:025981,-10.82723478,950,025981,-910363
2020-02-04 19:32:13:117252,-11.40902609,950,117252,91271
2020-02-04 19:32:13:206899,-11.90206957,948,206899,89647
2020-02-04 19:32:13:306761,-13.2825913,945,306761,99862
2020-02-04 19:32:13:396614,-13.86931304,946,396614,89853
2020-02-04 19:32:13:486319,-14.14048696,951,486319,89705
2020-02-04 19:32:13:586171,-12.5874,950,586171,99852
2020-02-04 19:32:13:676374,-13.64744348,945,676374,90203
2020-02-04 19:32:13:766053,-7.967582609,950,766053,89679
2020-02-04 19:32:13:857104,-6.089086957,950,857104,91051
2020-02-04 19:32:13:956958,-6.532826087,950,956958,99854
2020-02-04 19:32:14:046684,-9.131165217,950,046684,-910274
2020-02-04 19:32:14:136469,-12.9128087,951,136469,89785
2020-02-04 19:32:14:236395,-12.43948696,947,236395,99926
2020-02-04 19:32:14:326132,-10.29474783,945,326132,89737
2020-02-04 19:32:14:416515,-7.139269565,949,416515,90383
2020-02-04 19:32:14:516500,-4.900852174,950,516500,99985
2020-02-04 19:32:14:606265,-2.489869565,949,606265,89765
2020-02-04 19:32:14:695946,-4.126773913,948,695946,89681
2020-02-04 19:32:14:796470,5.77353913,947,796470,100524
2020-02-04 19:32:14:886185,44.44786957,949,886185,89715
2020-02-04 19:32:14:976491,98.94396522,950,976491,90306
2020-02-04 19:32:15:066274,161.0970261,946,066274,-910217
2020-02-04 19:32:15:166292,255.6726261,946,166292,100018
2020-02-04 19:32:15:256068,382.6313217,945,256068,89776
2020-02-04 19:32:15:346440,505.6506,951,346440,90372
2020-02-04 19:32:15:446283,629.2615304,950,446283,99843
2020-02-04 19:32:15:535995,780.6653217,949,535995,89712
2020-02-04 19:32:15:626294,953.1072783,950,626294,90299
2020-02-04 19:32:15:726283,1168.537696,948,726283,99989
2020-02-04 19:32:15:816050,1431.048835,951,816050,89767
2020-02-04 19:32:15:906439,1710.949617,950,906439,90389
2020-02-04 19:32:15:996098,1988.888087,951,996098,89659
2020-02-04 19:32:16:096667,2268.404296,946,096667,-899431
2020-02-04 19:32:16:186405,2479.338157,945,186405,89738
2020-02-04 19:32:16:276152,2365.489487,948,276152,89747
2020-02-04 19:32:16:376755,1711.536339,950,376755,100603
2020-02-04 19:32:16:466509,1050.044557,946,466509,89754
2020-02-04 19:32:16:556527,566.4872348,950,556527,90018
2020-02-04 19:32:16:646993,298.4392174,950,646993,90466
2020-02-04 19:32:16:746936,164.5483304,950,746936,99943
2020-02-04 19:32:16:836730,79.06445217,950,836730,89794
2020-02-04 19:32:16:926384,28.95151304,950,926384,89654
2020-02-04 19:32:17:026239,6.572269565,946,026239,-900145
2020-02-04 19:32:17:115918,-1.232608696,949,115918,89679
2020-02-04 19:32:17:206369,-3.263947826,950,206369,90451
2020-02-04 19:32:17:306347,0.128191304,951,306347,99978
2020-02-04 19:32:17:396055,1.163582609,950,396055,89708
2020-02-04 19:32:17:486449,0.133121739,949,486449,90394
2020-02-04 19:32:17:586420,-0.290895652,947,586420,99971
2020-02-04 19:32:17:676093,1.996826087,951,676093,89673
2020-02-04 19:32:17:765737,5.946104348,947,765737,89644
2020-02-04 19:32:17:856079,8.016886957,950,856079,90342
