timestamp,bme_pressure,analogue_pressure
2020-02-18 15:39:14:333615,853.4950361240326,727
2020-02-18 15:39:14:634529,854.3147713939253,700
2020-02-18 15:39:14:935548,819.7832587248979,732
2020-02-18 15:39:15:236262,819.9598169410816,739
2020-02-18 15:39:15:539581,819.2525108143146,721
2020-02-18 15:39:15:840324,819.155757675723,733
2020-02-18 15:39:16:141806,819.0126914779648,725
2020-02-18 15:39:16:442697,818.5455335871563,735
2020-02-18 15:39:16:743615,818.3661916662429,731
2020-02-18 15:39:17:044782,818.4816079983233,732
2020-02-18 15:39:17:345524,818.3499609323572,722
2020-02-18 15:39:17:646277,818.0856198341291,732
2020-02-18 15:39:17:947065,818.3468462794807,732
2020-02-18 15:39:18:247794,818.0700704119375,724
2020-02-18 15:39:18:548755,817.9771177316557,731
2020-02-18 15:39:18:849894,818.1294976586088,733
2020-02-18 15:39:19:151135,818.0068319697905,718
2020-02-18 15:39:19:451927,817.9342693442953,736
2020-02-18 15:39:19:753223,818.3219762575932,729
2020-02-18 15:39:20:054222,818.3468462794807,734
2020-02-18 15:39:20:355195,818.0572899827815,722
2020-02-18 15:39:20:655807,818.4404827737422,729
2020-02-18 15:39:20:956665,818.6298534030657,734
2020-02-18 15:39:21:257690,818.0645441534658,705
2020-02-18 15:39:21:558682,818.2224512479904,738
2020-02-18 15:39:21:859757,818.3223173373692,729
2020-02-18 15:39:22:160912,817.938420301939,732
2020-02-18 15:39:22:461820,817.7829256876223,730
2020-02-18 15:39:22:764471,818.0507223421959,727
2020-02-18 15:39:23:065620,817.9283981759,732
2020-02-18 15:39:23:366813,817.449826146713,704
2020-02-18 15:39:23:667553,817.6761537242227,734
2020-02-18 15:39:23:968526,853.2984098445683,834
2020-02-18 15:39:24:269509,916.5772655138092,893
2020-02-18 15:39:24:571971,950.3430438195215,917
2020-02-18 15:39:24:872980,963.8974351448163,927
2020-02-18 15:39:25:174143,971.140579691187,932
2020-02-18 15:39:25:475212,979.6258770406598,940
2020-02-18 15:39:25:776159,990.8293665613563,948
2020-02-18 15:39:26:077131,990.9449372399628,947
2020-02-18 15:39:26:377854,990.9494359675566,948
2020-02-18 15:39:26:678678,990.9462858511687,947
2020-02-18 15:39:26:979831,990.9403721817762,948
2020-02-18 15:39:27:280608,990.9781630424358,948
2020-02-18 15:39:27:581656,990.9396644541457,948
2020-02-18 15:39:27:883233,990.9809261275183,948
2020-02-18 15:39:28:184843,990.9628639128869,948
2020-02-18 15:39:28:486144,990.9614475892519,948
2020-02-18 15:39:28:787959,990.9395949677674,948
2020-02-18 15:39:29:089558,990.9451199602395,948
2020-02-18 15:39:29:390458,990.9527702723831,948
2020-02-18 15:39:29:691243,990.9312361496517,947
2020-02-18 15:39:29:992127,990.9253209944872,948
2020-02-18 15:39:30:293199,990.963111340117,948
2020-02-18 15:39:30:594136,990.9526981468491,947
2020-02-18 15:39:30:895098,990.9377873287626,948
2020-02-18 15:39:31:196097,990.9377873287626,948
