timestamp,load,force,pressure
2020-02-02 19:59:01:240358,288678,1300.047183,1023
2020-02-02 19:59:01:333143,327706,1492.472191,1023
2020-02-02 19:59:01:425833,361440,1658.795478,1023
2020-02-02 19:59:01:518542,388458,1792.005965,1023
2020-02-02 19:59:01:611179,408270,1889.687739,1023
2020-02-02 19:59:01:703922,424931,1971.833713,1023
2020-02-02 19:59:01:796616,438546,2038.961583,1023
2020-02-02 19:59:01:889348,448540,2088.236348,1023
2020-02-02 19:59:01:982359,455297,2121.551296,1023
2020-02-02 19:59:02:075204,462258,2155.872052,1023
2020-02-02 19:59:02:168021,458586,2137.767496,1023
2020-02-02 19:59:02:260897,424219,1968.323243,1023
2020-02-02 19:59:02:353749,334218,1524.579183,1023
2020-02-02 19:59:02:446547,217907,951.1153826,1023
2020-02-02 19:59:02:539376,122488,480.6582261,1023
2020-02-02 19:59:02:632199,64600,195.2452174,1023
2020-02-02 19:59:02:724945,40127,74.58268696,1023
2020-02-02 19:59:02:817748,31170,30.42078261,1023
2020-02-02 19:59:02:910473,28158,15.57031304,1023
2020-02-02 19:59:03:003155,27585,12.74517391,1023
2020-02-02 19:59:03:095917,25904,4.457113043,1023
2020-02-02 19:59:03:188746,24990,-0.049304348,1023
2020-02-02 19:59:03:281477,26189,5.862286957,1023
2020-02-02 19:59:03:374223,32079,34.90254783,1023
2020-02-02 19:59:03:467065,49593,121.2541826,1023
2020-02-02 19:59:03:559982,93818,339.3026609,1023
2020-02-02 19:59:03:652704,169375,711.8315217,1023
2020-02-02 19:59:03:745448,248417,1101.542948,1023
2020-02-02 19:59:03:838213,323580,1472.129217,1023
2020-02-02 19:59:03:930948,382852,1764.365948,1023
2020-02-02 19:59:04:023687,435026,2021.606452,1023
2020-02-02 19:59:04:116415,478230,2234.620957,1023
2020-02-02 19:59:04:209150,504929,2366.258635,1023
2020-02-02 19:59:04:301865,527611,2478.090757,1023
2020-02-02 19:59:04:394679,552941,2602.97867,1023
2020-02-02 19:59:04:487575,577427,2723.705296,1023
2020-02-02 19:59:04:580302,600108,2835.532487,1023
2020-02-02 19:59:04:673007,618034,2923.915461,1023
2020-02-02 19:59:04:765705,631874,2992.152678,1023
2020-02-02 19:59:04:858482,641355,3038.89813,1023
2020-02-02 19:59:04:951191,650039,3081.714026,1023
2020-02-02 19:59:05:043914,661479,3138.1182,1023
2020-02-02 19:59:05:136653,665583,3158.352704,1023
2020-02-02 19:59:05:229462,608729,2878.037765,1023
2020-02-02 19:59:05:322196,422054,1957.648852,1023
2020-02-02 19:59:05:414938,219532,959.1273391,1023
2020-02-02 19:59:05:507718,119290,464.8906957,1023
2020-02-02 19:59:05:600447,76146,252.1720174,1023
2020-02-02 19:59:05:693133,58502,165.1794261,1023
2020-02-02 19:59:05:785804,48851,117.5958,1023
2020-02-02 19:59:05:878546,41895,83.29969565,1023
2020-02-02 19:59:05:971232,36028,54.37283478,1023
2020-02-02 19:59:06:063917,22614,-11.76401739,1023
2020-02-02 19:59:06:156592,-2096,-133.5950609,1023
2020-02-02 19:59:06:249316,-42719,-333.884113,1023
2020-02-02 19:59:06:342055,-95826,-595.724713,1023
2020-02-02 19:59:06:434725,-148690,-856.3672174,1023
2020-02-02 19:59:06:527417,-190508,-1062.548139,1023
2020-02-02 19:59:06:620080,-218406,-1200.097409,1023
2020-02-02 19:59:06:712771,-237292,-1293.2136,1023
2020-02-02 19:59:06:805405,-259337,-1401.905035,1023
2020-02-02 19:59:06:898144,-282521,-1516.212235,1023
2020-02-02 19:59:06:990839,-307829,-1640.991678,1023
2020-02-02 19:59:07:083506,-334865,-1774.290913,1023
2020-02-02 19:59:07:176323,-353869,-1867.988896,1023
2020-02-02 19:59:07:269054,-346971,-1833.978757,1023
2020-02-02 19:59:07:361686,-305314,-1628.591635,1023
2020-02-02 19:59:07:454307,-225503,-1235.088704,1023
2020-02-02 19:59:07:547008,-128057,-754.6375565,1023
2020-02-02 19:59:07:639784,-38691,-314.0243217,1023
2020-02-02 19:59:07:732444,33048,39.68013913,1023
2020-02-02 19:59:07:825117,103236,385.7374957,1023
2020-02-02 19:59:07:917862,169697,713.4191217,1023
2020-02-02 19:59:08:010561,220065,961.7552609,1023
2020-02-02 19:59:08:103347,258481,1151.162843,1023
2020-02-02 19:59:08:196059,285140,1282.603304,1023
2020-02-02 19:59:08:288736,309806,1404.217409,1023
2020-02-02 19:59:08:381564,332830,1517.735739,1023
2020-02-02 19:59:08:474274,349267,1598.777296,1023
2020-02-02 19:59:08:567012,359366,1648.569757,1023
