timestamp,load_old,load_raw,pressure_raw,load,pressure,,,,multiply load by 1.7 to adjust for area difference (92 instead of 120mm)
2020-02-14 15:54:08:974305,174.5916261,-10411,692,-1.527827723,663.998653,,,,
2020-02-14 15:54:09:233011,177.5893304,-11018.99999,701,-4.498483137,675.331,,,,
2020-02-14 15:54:09:492492,176.1200609,-10721.00001,701,-3.042471149,675.331,,,,
2020-02-14 15:54:09:751855,175.0896,-10512,704,-2.021308304,679.1084491,,,,
2020-02-14 15:54:10:010508,176.3320696,-10764.00001,691,-3.252566852,662.7395033,,,,
2020-02-14 15:54:10:269874,179.0783217,-11320.99999,688,-5.97403897,658.9620543,,,,
2020-02-14 15:54:10:528427,176.0510348,-10707,689,-2.974067886,660.221204,,,,
2020-02-14 15:54:10:788545,175.3706348,-10569,696,-2.299807271,669.0352517,,,,
2020-02-14 15:54:11:045426,123.2608696,-7.05E-06,664,49.33976109,628.7424621,,,,
2020-02-14 15:54:11:304092,-190.7437304,63686.99999,696,360.5110347,669.0352517,,,,
2020-02-14 15:54:11:562774,-861.6132,199754,690,1025.327115,661.4803536,,,,
2020-02-14 15:54:11:822727,-1471.981304,323549.9999,680,1630.187745,648.8888569,,,,
2020-02-14 15:54:12:081411,-2118.745878,454727.9999,677,2271.116433,645.1114079,,,,
2020-02-14 15:54:12:340035,-2355.396887,502726,682,2505.632093,651.4071562,,,,
2020-02-14 15:54:12:599340,-2653.954435,563280,673,2801.495696,640.0748092,,,,
2020-02-14 15:54:12:855625,123.2608696,-7.05E-06,668,49.33976109,633.7790608,,,,
2020-02-14 15:54:13:114319,-3203.111191,674660.9999,680,3345.697301,648.8888569,,,,
2020-02-14 15:54:13:373034,-3391.734835,712918,663,3532.618956,627.4833124,,,,
2020-02-14 15:54:13:631788,-3659.560983,767239.0001,673,3798.028455,640.0748092,,,,
2020-02-14 15:54:13:890363,-3914.060165,818857,645,4050.23124,604.8186183,,,,
2020-02-14 15:54:14:148064,123.2608696,-7.05E-06,675,49.33976109,642.5931085,,,,
2020-02-14 15:54:14:406865,-4731.718539,984696,665,4860.511719,630.0016118,,,,
2020-02-14 15:54:15:479297,-4838.5512,1006364,669,4966.380407,635.0382105,,,,
2020-02-14 15:54:15:735501,123.2608696,-7.05E-06,665,49.33976109,630.0016118,,,,
2020-02-14 15:54:15:994241,-1747.089704,379347.9999,673,1902.813787,640.0748092,,,,
2020-02-14 15:54:16:252902,-180.9321652,61697,690,350.7880012,661.4803536,,,,
2020-02-14 15:54:16:512314,161.7281217,-7801.999992,694,11.2196067,666.5169523,,,,
2020-02-14 15:54:16:771619,175.6072957,-10617.00001,687,-2.534332732,657.7029046,,,,
2020-02-14 15:54:17:030241,176.4356087,-10785,698,-3.355171698,671.553551,,,,
2020-02-14 15:54:17:289655,177.3822522,-10977.00001,700,-4.293273445,674.0718504,,,,
2020-02-14 15:54:17:548303,174.828287,-10459.00001,704,-1.762353184,679.1084491,,,,
2020-02-14 15:54:17:806956,176.8103217,-10860.99999,695,-3.726503588,667.776102,,,,
2020-02-14 15:54:21:839598,178.1464696,-11132.00001,666,-5.050595158,631.2607615,,,,
2020-02-14 15:54:22:098234,177.8851565,-11079,681,-4.791639938,650.1480066,,,,
2020-02-14 15:54:22:356628,123.2608696,-7.05E-06,690,49.33976109,661.4803536,,,,
