timestamp,bme_pressure,analogue_pressure
2020-02-18 15:41:35:632070,990.9781955664845,948
2020-02-18 15:41:35:932870,990.9906607519786,947
2020-02-18 15:41:36:233787,990.9864786516425,947
2020-02-18 15:41:36:534781,990.9857679687441,948
2020-02-18 15:41:36:835777,990.9819819178025,948
2020-02-18 15:41:37:136922,990.9996543257942,947
2020-02-18 15:41:37:437774,990.9333804807745,948
2020-02-18 15:41:37:738704,990.9781139377242,948
2020-02-18 15:41:38:039698,990.9736174102296,947
2020-02-18 15:41:38:341030,990.959731062104,948
2020-02-18 15:41:38:642196,990.956573114365,948
2020-02-18 15:41:38:943198,990.9555484430373,948
2020-02-18 15:41:39:244405,990.9538126362744,948
2020-02-18 15:41:39:545634,990.954837293797,947
2020-02-18 15:41:39:848294,990.957995268923,948
2020-02-18 15:41:40:149357,988.8195545561231,923
2020-02-18 15:41:40:450485,989.0072934713386,919
2020-02-18 15:41:40:751427,989.1860747855918,961
2020-02-18 15:41:41:052666,988.8872469719529,937
2020-02-18 15:41:41:353745,988.7910551872851,925
2020-02-18 15:41:41:654521,989.1612036199148,964
2020-02-18 15:41:41:955588,988.9976056869023,952
2020-02-18 15:41:42:256373,988.6997913282966,911
2020-02-18 15:41:42:557116,988.6712910942495,919
2020-02-18 15:41:42:857867,987.4426855051506,970
2020-02-18 15:41:43:158827,986.6675874522349,959
2020-02-18 15:41:43:459877,985.5307612819743,922
2020-02-18 15:41:43:761019,984.215413151667,918
2020-02-18 15:41:44:062206,983.736401626224,950
2020-02-18 15:41:44:363062,980.2913596868993,946
2020-02-18 15:41:44:665279,976.9933894685124,921
2020-02-18 15:41:44:966271,968.8023365103516,936
2020-02-18 15:41:45:267387,941.7270680919985,903
2020-02-18 15:41:45:568516,886.665529671654,858
2020-02-18 15:41:45:869610,868.4993805443254,833
2020-02-18 15:41:46:170643,856.5728497740314,840
2020-02-18 15:41:46:471767,853.5371755350569,831
2020-02-18 15:41:46:772656,853.1965505440535,819
2020-02-18 15:41:47:073807,853.1572347431953,808
2020-02-18 15:41:47:374520,853.5170085019889,830
2020-02-18 15:41:47:675529,853.7405171980427,832
2020-02-18 15:41:47:976869,853.6263626651179,827
2020-02-18 15:41:48:277830,854.1311730940638,833
2020-02-18 15:41:48:578977,854.4844293782809,826
2020-02-18 15:41:48:880279,854.6643089521899,825
2020-02-18 15:41:49:181000,854.543236073592,830
2020-02-18 15:41:49:481949,854.7247359810362,828
2020-02-18 15:41:49:782905,854.5083607746014,811
2020-02-18 15:41:50:083951,854.1590865894733,821
2020-02-18 15:41:50:385133,854.2093050186622,808
2020-02-18 15:41:50:685847,854.4134010531529,824
2020-02-18 15:41:50:986973,854.5726952981946,828
2020-02-18 15:41:51:287825,854.4342707943094,827
2020-02-18 15:41:51:588890,854.7214955334301,831
2020-02-18 15:41:51:890150,854.6228536569963,832
2020-02-18 15:41:52:191156,854.8131639175305,825
2020-02-18 15:41:52:492130,854.7665190317056,821
2020-02-18 15:41:52:793395,855.0207157475156,827
2020-02-18 15:41:53:094411,854.6660385673803,832
2020-02-18 15:41:53:395466,854.5518841242682,825
2020-02-18 15:41:53:696289,854.2007747608553,814
2020-02-18 15:41:53:997099,854.6660936716606,813
2020-02-18 15:41:54:298159,854.6798204066945,810
2020-02-18 15:41:54:599175,854.7456554200413,798
2020-02-18 15:41:54:901201,854.9723393881053,804
2020-02-18 15:41:55:201895,855.1538954022512,827
2020-02-18 15:41:55:502885,855.3925821200598,827
2020-02-18 15:41:55:804089,855.6763343813874,831
2020-02-18 15:41:56:105104,856.0586223397546,834
2020-02-18 15:41:56:406234,856.1260338802285,834
